$ python3 -c "
import re

with open('.reasonix/reference/dme-api-reference.md', 'r', encoding='utf-8') as f:
    lines = f.readlines()

# Find all URI lines and their context
# We'll track the current section heading and find descriptions
results = []
current_section = ''
current_subsection = ''

for i, line in enumerate(lines):
    # Track section headings
    m = re.match(r'^(#{2,4})\s+(.+)$', line)
    if m:
        level = len(m.group(1))
        title = m.group(2).strip()
        if level == 2:
            current_section = title
            current_subsection = ''
        elif level == 3:
            current_subsection = title
        elif level == 4:
            current_subsection = title
    
    # Find URI lines
    m = re.match(r'.*\- \*\*URI\*\*:\s*(/.*)$', line)
    if m:
        uri = m.group(1).strip()
        # Find the '描述' (description) - it's usually in the lines above the URI
        # Scan backward from current line to find the most recent **描述** line
        desc = ''
        for j in range(i-1, max(0, i-20), -1):
            dm = re.match(r'\*\*描述\*\*\s*$', lines[j])
            if dm:
                # The description is the next non-empty line
                for k in range(j+1, min(j+5, len(lines))):
                    if lines[k].strip():
                        desc = lines[k].strip()
                        break
                break
        
        # Find the section heading - scan backward
        section_heading = ''
        for j in range(i-1, max(0, i-50), -1):
            hm = re.match(r'^(#{2,4})\s+(.+)$', lines[j])
            if hm:
                section_heading = hm.group(2).strip()
                break
        
        results.append((uri, section_heading, desc, i+1))

for uri, section, desc, line in results:
    print(f'L{line}: URI={uri} | Section={section} | Desc={desc}')
" 2>&1 | head -200
[exit 0]
L17: URI=/rest/plat/smapp/v1/sessions | Section=认证用户 | Desc=实现三方用户的认证登录。
L46: URI=/rest/plat/smapp/v1/sessions | Section=注销会话 | Desc=注销当前已经登录的三方会话或普通会话。
L68: URI=/rest/usm/v1/users/{user-name}/reset-credentials | Section=重置密码 | Desc=根据指定用户名重置指定用户的密码，重置不需要原始密码，因此，执行该接口的三方用户角色权限必须是安全管理员角色。
L104: URI=/rest/usermgmt/v1/users/{user_id} | Section=删除用户 | Desc=删除用户。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
L137: URI=/rest/usermgmt/v1/users | Section=创建用户 | Desc=创建用户。
L174: URI=/rest/usermgmt/v1/users | Section=批量查询用户信息 | Desc=批量查询用户信息。
L224: URI=/rest/usermgmt/v1/roles | Section=批量查询角色信息 | Desc=批量查询角色信息。
L272: URI=/rest/usermgmt/v1/users/{user_id} | Section=查询指定用户信息 | Desc=查询指定用户信息。
L311: URI=/rest/productmgmt/v1/system-info | Section=查询产品系统信息 | Desc=查询产品系统信息
L345: URI=/rest/certmgmt/v1/certs | Section=获取DME证书 | Desc=获取DME证书。
L384: URI=/rest/azmgmt/v1/availability-zones | Section=批量查询可用分区 | Desc=批量查询可用分区
L440: URI=/rest/storagemgmt/v2/storages/offline-storages | Section=添加存储设备 | Desc=添加未被DME接入或纳管的存储设备，添加后仅呈现为一条资产记录。
L492: URI=/rest/storagemgmt/v2/storages/offline-storages/{storage_id} | Section=修改存储设备 | Desc=修改未被DME接入或纳管的存储设备。
L542: URI=/rest/storagemgmt/v2/storages/delete | Section=批量移除存储设备 | Desc=批量移除存储设备。
L577: URI=/rest/storagemgmt/v1/storage-license/upload | Section=导入OcenStor A800 License文件 | Desc=导入OcenStor A800 License文件。
L614: URI=/rest/storagemgmt/v1/storage-license/export | Section=导出OcenStor A800 License文件 | Desc=导出OcenStor A800 License文件。
L649: URI=/rest/storagemgmt/v1/storages/{storage_id}/detail | Section=查询指定存储设备 | Desc=查询指定存储设备。
L734: URI=/rest/storagemgmt/v1/storages | Section=批量查询存储设备 | Desc=批量查询存储设备：支持分页查询，过滤。
L840: URI=/rest/storagemgmt/v1/storages/refresh | Section=同步存储设备信息 | Desc=同步存储设备信息，该接口为异步消息。提交同步存储设备消息后，系统后台将从存储设备上获取最新的资源等。
L873: URI=/rest/storagemgmt/v1/storages/{storage_id}/passphrase | Section=获取存储设备访问的令牌 | Desc=获取存储设备访问的令牌
L910: URI=/rest/storagemgmt/v1/storages/{storage_id}/workloads | Section=查询指定存储设备的应用类型 | Desc=查询指定存储设备的应用类型；仅Dorado类型设备支持。
L962: URI=/rest/storagemgmt/v1/storage-nodes/query | Section=查询存储设备的节点列表 | Desc=批量查询存储设备的节点信息。
L1040: URI=/rest/metrics/v1/storage/power/query | Section=获取存储设备功率列表 | Desc=获取存储设备功率列表
L1087: URI=/rest/storagemgmt/v1/storages/power-on | Section=批量上电存储设备 | Desc=批量上电存储设备。对于分布式存储，只支持上电管理节点、存储节点、复制节点、控制节点。
L1124: URI=/rest/3rdsystemmgmt/v1/3rd-systems/transmission | Section=发送rest请求或cli命令给NetApp FAS 8200/8060/8040/9000、Dell EMC VMAX950F设备（下称第三方存储）。 | Desc=发送rest请求或cli命令给NetApp FAS 8200/8060/8040/9000、Dell EMC VMAX950F设备（下称第三方存储）。当前支持返回2097152个字节以内的数据，超过后会被截断。其中NetApp FAS支持的cli命令为（cluster identity show -fields uuid,name,serialnumber；cluster image show -fields node,version；system health status show -fields status；metrocluster show -fields local-cluster-name,remote-cluster-name,local-mode,remote-mode；metrocluster interconnect adapter show -fields node,adapter,port-name,type,physical-status,address,link-speed,switch-name,remote-adapter-name-list,remote-adapter-port-id-list,remote-partner-name-list；cluster peer show -fields cluster,availability,ip-addrs,serialnumber,remote-cluster-nodes,remote-cluster-health,ipspace；cluster peer connection show -fields connection-type,cluster-name,node,port,address；network interface show -fields vserver,lif,address,netmask,home-node,home-port,address-family；network port show -fields node,port,link,mtu,speed-oper,health-status,vlan-port；network fcp adapter show -fields node,adapter,speed,fc-wwnn,fc-wwpn,switch-port,physical-protocol,max-speed,status-admin,status-extended,status-oper；network interface show -fields vserver,lif,address,netmask,home-node,home-port,address-family,data-protocol；network port show -fields node,port,speed-oper,speed-admin,vlan-port,mtu,mac,type,remote-device-id,ipspace,vlan-tag,flowcontrol-oper -type vlan；volume show -fields vserver,volume,aggregate,policy,size,state；volume show -fields vserver,volume,aggregate,policy,size,state,files；aggr show -fields aggregate,size,availsize；cifs share show -fields path,volume；cifs share access-control show -fields share,user-or-group,permission,user-group-type -share \{share\_name\}；vserver cifs users-and-groups local-user show -fields vserver,user-name -vserver \{svm\_name\}；export-policy show -fields policyname,vserver；export-policy rule show -policyname \{policy\_name\} -fields vserver,policyname,clientmatch；export-policy rule show -fields vserver,policyname,ruleindex,protocol,clientmatch,rorule,rwrule,superuser,anon,allow-dev,allow-suid；vserver show -fields aggregate,admin-state,data-services；cifs share access-control show -fields share,user-or-group,permission,user-group-type），如果NetApp FAS版本大于9.6，支持的rest请求为（/cluster?fields=_；/cluster/metrocluster?fields=_；/network/ip/interfaces?fields=_；/network/ethernet/ports?fields=_；/network/fc/ports），Dell EMC VMAX950F支持的rest请求为（/sloprovisioning/symmetrix；/common/Iterator/\{initiator\_id\}/page；/sloprovisioning/symmetrix/\{symmetrix\_id\}/volume；/sloprovisioning/symmetrix/\{symmetrixId\}/portgroup；/sloprovisioning/symmetrix/\{symmetrixId\}/portgroup/\{portGroupId\}；/system/symmetrix/\{symmetrixId\}/director/\{directorId\}/port/\{portId\}；/sloprovisioning/symmetrix/\{symmetrixId\}/storagegroup；/sloprovisioning/symmetrix/\{symmetrixId\}/storagegroup/\{storageGroupId\}；/sloprovisioning/symmetrix/\{symmetrixId\}/maskingview；/sloprovisioning/symmetrix/\{symmetrixId\}/maskingview/\{maskingViewId\}；/sloprovisioning/symmetrix/\{symmetrixId\}/initiator；/sloprovisioning/symmetrix/\{symmetrixId\}/initiator/\{initiatorId\}）。
L1179: URI=/rest/storageclustermgmt/v1/configs/upload | Section=上传OceanStor A800的LLD文件 | Desc=上传OceanStor A800的LLD文件。
L1217: URI=/rest/storageclustermgmt/v1/configs/init | Section=OceanStor A800集群开局或扩容操作 | Desc=通知OceanStor A800集群纳管或扩容，包括接入交换机，存储以及存储资源配置操作。
L1255: URI=/rest/storageclustermgmt/v1/configs/reinit | Section=重试OceanStor A800集群开局或扩容操作 | Desc=重试OceanStor A800集群开局或扩容，包括接入交换机，存储以及存储资源配置操作。
L1295: URI=/rest/storageclusterservice/v1/zones/query | Section=查询OceanStor A800集群中zone信息 | Desc=查询OceanStor A800集群中zone信息。
L1364: URI=/rest/storagemgmt/v1/backup-powers/query | Section=查询存储设备的BBU信息列表 | Desc=查询存储设备的BBU信息列表。
L1426: URI=/rest/storagemgmt/v1/smart-migration-tasks | Section=发送REST请求到OceanStor A310或OceanStor Pacific设备，用于存储设备间的数据流动 | Desc=发送REST请求给OceanStor A310或OceanStor Pacific设备，用于存储设备间的数据流动。该特性仅支持在OceanStor A310或OceanStor Pacific创建SmartMigration，并且保证OceanStor A310或OceanStor Pacific已经接入了远端NAS设备。 支持请求的url包含: converged\_service/smart\_transfer\_push converged\_service/smart\_transfer\_push\_count converged\_service/smart\_transfer\_push\_operate converged\_service/smart\_transfer\_pull converged\_service/smart\_transfer\_pull\_count converged\_service/smart\_transfer\_pull\_operate converged\_service/smart\_transfer\_mnt
L1473: URI=/rest/storagemgmt/v1/smart-migration-task-files | Section=向OceanStor Pacific或OceanStor A310存储上传数据流动任务文件 | Desc=发送REST请求给OceanStor A310或OceanStor Pacific设备，用于上传数据流动任务文件。该接口需要以multipart/form-data格式上传文件,键名称为"obj\_list\_file",值为文件。
L1512: URI=/rest/storagemgmt/v1/fans/query | Section=查询存储设备的风扇信息 | Desc=查询存储设备的风扇信息。
L1573: URI=/rest/storagemgmt/v1/storages/power-off | Section=批量下电存储设备 | Desc=批量下电存储设备。
L1609: URI=/rest/storagemgmt/v1/storage-powers/query | Section=查询存储设备电源详情信息 | Desc=查询存储设备电源详情信息，仅支持OceanStor A800存储。
L1683: URI=/rest/storageclusterservice/v1/cable-connection/check | Section=执行OceanStor A800和交换机线缆连接检测任务 | Desc=执行OceanStor A800和交换机线缆连接检测任务。
L1719: URI=/rest/storageclusterservice/v1/cable-connections/query | Section=查询OceanStor A800和交换机线缆连接检测结果 | Desc=查询OceanStor A800和交换机线缆连接检测结果。
L1775: URI=/rest/storagemgmt/v1/storage-config/collection-task | Section=创建存储设备配置文件收集任务 | Desc=创建存储设备配置文件收集任务，仅支持OceanStor A800存储设备。系统仅支持一个任务收集，不支持多个任务同时执行。
L1810: URI=/rest/storagemgmt/v1/storage-config/collection-task | Section=查询存储设备配置文件收集进度 | Desc=查询存储设备配置文件收集进度，仅支持OceanStor A800存储设备。
L1847: URI=/rest/storagemgmt/v1/storage-config/download | Section=下载存储设备配置文件 | Desc=存储设备配置文件，仅支持OceanStor A800存储设备。
L1882: URI=/rest/storagemgmt/v1/storages/reboot | Section=批量重启存储设备 | Desc=批量重启存储设备。 >![](public_sys-resources/icon-notice.gif) **须知：** >该API可能会直接或间接影响现网业务运行，导致业务中断、关键数据丢失等，请谨慎操作。
